tag,pointtype,pointsource,instrumenttag,engunits,descriptor,location1,location2,location3,location4,location5,selected
OGB-W3-5L-THP-PIT-001,Float32,PIWebAPI_OMF,7160,pressure,Register 7160 from Gateway_2,4,0,1,1,0,X
OGB-W3-5L-FLP-PIT-002,Float32,PIWebAPI_OMF,7163,pressure,Register 7163 from Gateway_2,4,0,1,1,0,X
OGB-W3-5CHP-PIT-003,Float32,PIWebAPI_OMF,7166,pressure,Register 7166 from Gateway_2,4,0,1,1,0,X
OGB-W3-5S-THP-PIT-001,Float32,PIWebAPI_OMF,7169,pressure,Register 7169 from Gateway_2,4,0,1,1,0,X
OGB-W3-5S-FLP-PIT-002,Float32,PIWebAPI_OMF,7172,pressure,Register 7172 from Gateway_2,4,0,1,1,0,X
OGB-W3-5L-FLT-TIT-002,Float32,PIWebAPI_OMF,7175,temperature,Register 7175 from Gateway_2,4,0,1,1,0,X
OGB-W3-5S-FLT-TIT-002,Float32,PIWebAPI_OMF,7179,temperature,Register 7179 from Gateway_2,4,0,1,1,0,X
OGB-W9-9L-THP-PIT-001,Float32,PIWebAPI_OMF,7183,pressure,Register 7183 from Gateway_2,4,0,1,1,0,X
OGB-W9-9L-FLP-PIT-002,Float32,PIWebAPI_OMF,7186,pressure,Register 7186 from Gateway_2,4,0,1,1,0,X
OGB-W9-9CHP-PIT-003,Float32,PIWebAPI_OMF,7189,pressure,Register 7189 from Gateway_2,4,0,1,1,0,X
OGB-W9-9S-THP-PIT-001,Float32,PIWebAPI_OMF,7192,pressure,Register 7192 from Gateway_2,4,0,1,1,0,X
OGB-W9-9S-FLP-PIT-002,Float32,PIWebAPI_OMF,7195,pressure,Register 7195 from Gateway_2,4,0,1,1,0,X
OGB-W9-9L-FLT-TIT-002,Float32,PIWebAPI_OMF,7189,temperature,Register 7189 from Gateway_2,4,0,1,1,0,X
OGB-W9-9S-FLT-TIT-002,Float32,PIWebAPI_OMF,7202,temperature,Register 7202 from Gateway_2,4,0,1,1,0,X
OGB-W9-14L-THP-PIT-001,Float32,PIWebAPI_OMF,7206,pressure,Register 7206 from Gateway_2,4,0,1,1,0,X
OGB-W9-14L-FLP-PIT-002,Float32,PIWebAPI_OMF,7209,pressure,Register 7209 from Gateway_2,4,0,1,1,0,X
OGB-W9-14CHP-PIT-003,Float32,PIWebAPI_OMF,7212,pressure,Register 7212 from Gateway_2,4,0,1,1,0,X
OGB-W9-14S-THP-PIT-001,Float32,PIWebAPI_OMF,7215,pressure,Register 7215 from Gateway_2,4,0,1,1,0,X
OGB-W9-14S-FLP-PIT-002,Float32,PIWebAPI_OMF,7218,pressure,Register 7218 from Gateway_2,4,0,1,1,0,X
OGB-W9-14L-FLT-TIT-002,Float32,PIWebAPI_OMF,7221,temperature,Register 7221 from Gateway_2,4,0,1,1,0,X
OGB-W9-14S-FLT-TIT-002,Float32,PIWebAPI_OMF,7225,temperature,Register 7225 from Gateway_2,4,0,1,1,0,X
OGB-W9-15T-THP-PIT-001,Float32,PIWebAPI_OMF,7229,pressure,Register 7229 from Gateway_2,4,0,1,1,0,X
OGB-W9-15T-FLP-PIT-002,Float32,PIWebAPI_OMF,7232,pressure,Register 7232 from Gateway_2,4,0,1,1,0,X
OGB-W9-15CHP-PIT-003,Float32,PIWebAPI_OMF,7235,pressure,Register 7235 from Gateway_2,4,0,1,1,0,X
OGB-W9-15T-FLT-TIT-002,Float32,PIWebAPI_OMF,7238,temperature,Register 7238 from Gateway_2,4,0,1,1,0,X
